name,price,rank,url
TZ/RJ/FX DDR5 6000 C30 2x32GB,1200.0,1,https://ram.userbenchmark.com/SpeedTest/1854082/G-Skill-Intl-F5-6000J3040G32G-2x315GB
Vengeance RGB DDR5 6000 C30 2x16GB,610.0,2,https://ram.userbenchmark.com/SpeedTest/1964162/Corsair-CMH32GX5M2B6000Z30-2x16GB
TZ/RJ/FX DDR5 6000 C30 2x16GB,680.0,3,https://ram.userbenchmark.com/SpeedTest/1931932/Unknown-F5-6000J3038F16G-2x16GB
Pro DDR5 6400 C32 2x16GB,605.0,4,https://ram.userbenchmark.com/SpeedTest/2469124/Micron-CP16G64C32U5BM8H4-2x16GB
TZ/RJ/FX DDR5 7200 C34 2x16GB,515.0,5,https://ram.userbenchmark.com/SpeedTest/1955829/G-Skill-Intl-F5-7200J3445G16G-2x16GB
Vengeance RGB DDR5 6400 C32 2x32GB,1693.0,6,https://ram.userbenchmark.com/SpeedTest/2108041/Corsair-CMH64GX5M2B6400C32-2x315GB
TZ/RJ/FX DDR5 6400 C32 2x32GB,1020.0,7,https://ram.userbenchmark.com/SpeedTest/1963529/G-Skill-Intl-F5-6400J3239G32G-2x315GB
TZ/RJ/FX DDR5 6400 C32 2x16GB,1122.0,8,https://ram.userbenchmark.com/SpeedTest/1770998/G-Skill-Intl-F5-6400J3239G16G-2x16GB
Vengeance RGB DDR5 6400 C36 2x16GB,660.0,9,https://ram.userbenchmark.com/SpeedTest/2067774/Corsair-CMH32GX5M2B6400C36-2x16GB
TZ/RJ/FX DDR5 5600 C30 2x32GB,1131.0,10,https://ram.userbenchmark.com/SpeedTest/1845681/G-Skill-Intl-F5-5600J3636D32G-2x315GB
Vengeance RGB DDR5 6000 C36 2x16GB,600.0,11,https://ram.userbenchmark.com/SpeedTest/2095554/Corsair-CMH32GX5M2E6000C36-2x16GB
TZ/RJ/FX DDR5 6400 C36 2x16GB,421.0,12,https://ram.userbenchmark.com/SpeedTest/1769364/G-Skill-Intl-F5-6000J3636F16G-2x16GB
Vengeance DDR5 6000 C36 2x16GB,651.0,13,https://ram.userbenchmark.com/SpeedTest/2096215/Corsair-Vengeance-LPX-CMK32GX5M2E6000C36-2x16GB
TZ/RJ/FL DDR5 6000 C32 2x16GB,263.0,14,https://ram.userbenchmark.com/SpeedTest/1938847/Unknown-F5-6000J3238F16G-2x16GB
TZ/RJ/FL DDR5 6000 C36 2x16GB,421.0,15,https://ram.userbenchmark.com/SpeedTest/1938837/Unknown-F5-6000J3636F16G-2x16GB
Vengeance DDR5 5600 C36 2x16GB,188.0,16,https://ram.userbenchmark.com/SpeedTest/1738581/Corsair-Vengeance-LPX-CMK32GX5M2B5600C36-2x16GB
Fury DDR5 5600 C40 2x16GB,706.0,17,https://ram.userbenchmark.com/SpeedTest/1745881/Kingston-KF556C40-16-2x16GB
Fury DDR5 5600 C40 2x8GB,428.0,18,https://ram.userbenchmark.com/SpeedTest/1804829/Kingston-KF556C40-8-2x8GB
Ripjaws 4 DDR4 2400 C14 8x16GB,,19,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-2400-C14-8x16GB/Rating/3567
Trident Z DDR4 3200 C14 4x16GB,,20,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3200-C14-4x16GB/Rating/3612
Ballistix Sport DDR4 2400 C16 8x4GB,,21,https://ram.userbenchmark.com/SpeedTest/93395/Crucial-BLS4G4D240FSAM8FAD-8x4GB
Ballistix Elite DDR4 3600 C16 4x8GB,,22,https://ram.userbenchmark.com/SpeedTest/811381/Crucial-BLE8G4D36BEEAKM8FE1-4x8GB
Flare X DDR4 3200 C14 4x8GB,,23,https://ram.userbenchmark.com/SpeedTest/270794/GSKILL-F4-3200C14-8GFX-4x8GB
Trident Z DDR4 3200 C15 4x16GB,,24,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3200-C15-4x16GB/Rating/3613
Dominator DDR4 3000 C15 4x16GB,,25,https://ram.userbenchmark.com/Corsair-Dominator-DDR4-3000-C15-4x16GB/Rating/3565
Trident Z DDR4 3600 C16 2x8GB,,26,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3600-C16-2x8GB/Rating/3562
Flare X DDR4 3200 C14 2x8GB,260.0,27,https://ram.userbenchmark.com/SpeedTest/255366/GSKILL-F4-3200C14-8GFX-2x8GB
Ballistix Sport DDR4 2400 C16 4x4GB,248.0,28,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-DDR4-2400-C16-4x4GB/Rating/3561
Trident Z DDR4 3600 C17 2x8GB,,29,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3600-C17-2x8GB/Rating/3563
Vengeance LPX DDR4 2666 C15 4x8GB,,30,https://ram.userbenchmark.com/SpeedTest/89347/Corsair-Vengeance-LPX-CMK32GX4M4A2666C15-4x8GB
Vengeance LPX DDR4 3600 C18 2x16GB,460.0,31,https://ram.userbenchmark.com/SpeedTest/998434/Corsair-Vengeance-LPX-CMK32GX4M2Z3600C18-2x16GB
Ballistix Elite DDR4 3600 C16 2x8GB,,32,https://ram.userbenchmark.com/SpeedTest/786050/Crucial-BLE8G4D36BEEAKM8FE1-2x8GB
Ripjaws V DDR4 3200 C16 4x16GB,460.0,33,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-3200-C16-4x16GB/Rating/3564
Fury DDR4 2666 C15 4x8GB,,34,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2666-C15-4x8GB/Rating/3570
Ripjaws 4 DDR4 3000 C15 4x4GB,,35,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-3000-C15-4x4GB/Rating/3540
Ripjaws 4 DDR4 2800 C16 4x4GB,,36,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-2800-C16-4x4GB/Rating/3608
Trident Z DDR4 3600 C17 2x4GB,,37,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3600-C17-2x4GB/Rating/3566
Vengeance RGB DDR4 3466 C16 2x8GB,,38,https://ram.userbenchmark.com/SpeedTest/287318/Corsair-CMR16GX4M2C3466C16-2x8GB
Vengeance LPX DDR4 3000 C15 4x4GB,,39,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-4x4GB/Rating/3558
Vengeance LPX DDR4 3600 C18 2x8GB,174.0,40,https://ram.userbenchmark.com/SpeedTest/808862/Corsair-Vengeance-LPX-CMK16GX4M2D3600C18-2x8GB
Vengeance RGB DDR4 3600 C18 2x8GB,,41,https://ram.userbenchmark.com/SpeedTest/315553/Corsair-CMR16GX4M2C3600C18-2x8GB
Vengeance RGB PRO DDR4 3200 C16 2x16GB,,42,https://ram.userbenchmark.com/SpeedTest/587593/Corsair-CMW32GX4M2C3200C16-2x16GB
Vengeance LPX DDR4 2800 C16 4x4GB,,43,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2800-C16-4x4GB/Rating/3541
Vengeance LPX DDR4 2666 C16 4x4GB,,44,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x4GB/Rating/3557
Vengeance LPX DDR4 3200 C16 2x16GB,510.0,45,https://ram.userbenchmark.com/SpeedTest/97244/Corsair-Vengeance-LPX-CMK32GX4M2B3200C16-2x16GB
Vengeance LPX DDR4 2400 C14 4x8GB,,46,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x8GB/Rating/3542
