name,price,rank,url
TZ/RJ/FX DDR5 6000 C30 2x32GB,1200.0,1,https://ram.userbenchmark.com/SpeedTest/1854082/G-Skill-Intl-F5-6000J3040G32G-2x315GB
Vengeance RGB DDR5 6000 C30 2x16GB,610.0,2,https://ram.userbenchmark.com/SpeedTest/1964162/Corsair-CMH32GX5M2B6000Z30-2x16GB
TZ/RJ/FX DDR5 6000 C30 2x16GB,680.0,3,https://ram.userbenchmark.com/SpeedTest/1931932/Unknown-F5-6000J3038F16G-2x16GB
Pro DDR5 6400 C32 2x16GB,605.0,4,https://ram.userbenchmark.com/SpeedTest/2469124/Micron-CP16G64C32U5BM8H4-2x16GB
TZ/RJ/FX DDR5 7200 C34 2x16GB,515.0,5,https://ram.userbenchmark.com/SpeedTest/1955829/G-Skill-Intl-F5-7200J3445G16G-2x16GB
Vengeance RGB DDR5 6400 C32 2x32GB,1693.0,6,https://ram.userbenchmark.com/SpeedTest/2108041/Corsair-CMH64GX5M2B6400C32-2x315GB
TZ/RJ/FX DDR5 6400 C32 2x32GB,1020.0,7,https://ram.userbenchmark.com/SpeedTest/1963529/G-Skill-Intl-F5-6400J3239G32G-2x315GB
TZ/RJ/FX DDR5 6400 C32 2x16GB,1122.0,8,https://ram.userbenchmark.com/SpeedTest/1770998/G-Skill-Intl-F5-6400J3239G16G-2x16GB
Vengeance RGB DDR5 6400 C36 2x16GB,660.0,9,https://ram.userbenchmark.com/SpeedTest/2067774/Corsair-CMH32GX5M2B6400C36-2x16GB
TZ/RJ/FX DDR5 5600 C30 2x32GB,1131.0,10,https://ram.userbenchmark.com/SpeedTest/1845681/G-Skill-Intl-F5-5600J3636D32G-2x315GB
Vengeance RGB DDR5 6000 C36 2x16GB,600.0,11,https://ram.userbenchmark.com/SpeedTest/2095554/Corsair-CMH32GX5M2E6000C36-2x16GB
TZ/RJ/FX DDR5 6400 C36 2x16GB,421.0,12,https://ram.userbenchmark.com/SpeedTest/1769364/G-Skill-Intl-F5-6000J3636F16G-2x16GB
Vengeance DDR5 6000 C36 2x16GB,651.0,13,https://ram.userbenchmark.com/SpeedTest/2096215/Corsair-Vengeance-LPX-CMK32GX5M2E6000C36-2x16GB
TZ/RJ/FL DDR5 6000 C32 2x16GB,263.0,14,https://ram.userbenchmark.com/SpeedTest/1938847/Unknown-F5-6000J3238F16G-2x16GB
TZ/RJ/FL DDR5 6000 C36 2x16GB,421.0,15,https://ram.userbenchmark.com/SpeedTest/1938837/Unknown-F5-6000J3636F16G-2x16GB
Vengeance DDR5 5600 C36 2x16GB,188.0,16,https://ram.userbenchmark.com/SpeedTest/1738581/Corsair-Vengeance-LPX-CMK32GX5M2B5600C36-2x16GB
Fury DDR5 5600 C40 2x16GB,706.0,17,https://ram.userbenchmark.com/SpeedTest/1745881/Kingston-KF556C40-16-2x16GB
Fury DDR5 5600 C40 2x8GB,428.0,18,https://ram.userbenchmark.com/SpeedTest/1804829/Kingston-KF556C40-8-2x8GB
Flare X DDR4 3200 C14 2x8GB,260.0,27,https://ram.userbenchmark.com/SpeedTest/255366/GSKILL-F4-3200C14-8GFX-2x8GB
Ballistix Sport DDR4 2400 C16 4x4GB,248.0,28,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-DDR4-2400-C16-4x4GB/Rating/3561
Vengeance LPX DDR4 3600 C18 2x16GB,460.0,31,https://ram.userbenchmark.com/SpeedTest/998434/Corsair-Vengeance-LPX-CMK32GX4M2Z3600C18-2x16GB
Ripjaws V DDR4 3200 C16 4x16GB,460.0,33,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-3200-C16-4x16GB/Rating/3564
Vengeance LPX DDR4 3600 C18 2x8GB,174.0,40,https://ram.userbenchmark.com/SpeedTest/808862/Corsair-Vengeance-LPX-CMK16GX4M2D3600C18-2x8GB
Vengeance LPX DDR4 3200 C16 2x16GB,510.0,45,https://ram.userbenchmark.com/SpeedTest/97244/Corsair-Vengeance-LPX-CMK32GX4M2B3200C16-2x16GB
Vengeance LPX DDR4 3200 C16 2x16GB,340.0,48,https://ram.userbenchmark.com/SpeedTest/814385/Corsair-Vengeance-LPX-CMK32GX4M2E3200C16-2x16GB
Trident Z DDR4 3200 C16 2x8GB,492.0,49,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3200-C16-2x8GB/Rating/3550
Vengeance LPX DDR4 3200 C16 2x8GB,303.0,51,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3200-C16-2x8GB/Rating/3547
Vengeance LPX DDR4 2666 C16 4x8GB,340.0,54,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x8GB/Rating/3586
Vengeance LPX DDR4 3200 C16 2x8GB,215.0,55,https://ram.userbenchmark.com/SpeedTest/812521/Corsair-Vengeance-LPX-CMK16GX4M2E3200C16-2x8GB
Trident Z RGB DDR4 3200 C16 2x8GB,180.0,58,https://ram.userbenchmark.com/SpeedTest/231020/GSKILL-F4-3200C16-8GTZR-2x8GB
Ripjaws V DDR4 3200 C16 2x8GB,120.0,60,https://ram.userbenchmark.com/SpeedTest/89324/GSKILL-F4-3200C16-8GVKB-2x8GB
Vengeance LPX DDR4 3000 C15 2x8GB,220.0,69,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-2x8GB/Rating/3546
Trident Z RGB DDR4 3000 C16 2x8GB,234.0,75,https://ram.userbenchmark.com/SpeedTest/236585/GSKILL-F4-3000C16-8GTZR-2x8GB
Vengeance RGB PRO DDR4 3200 C15 2x8GB,230.0,76,https://ram.userbenchmark.com/SpeedTest/523893/Corsair-CMW16GX4M2C3000C15-2x8GB
Vengeance LPX DDR4 2400 C16 2x16GB,260.0,82,https://ram.userbenchmark.com/SpeedTest/131225/Corsair-Vengeance-LPX-CMK32GX4M2A2400C16-2x16GB
Vengeance LPX DDR4 2666 C16 2x8GB,216.0,83,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-2x8GB/Rating/3545
Vengeance LPX DDR4 2400 C16 2x4GB,101.0,84,https://ram.userbenchmark.com/SpeedTest/105361/Corsair-Vengeance-LPX-CMK8GX4M2A2400C16-2x4GB
Vengeance LPX DDR4 2666 C16 2x16GB,540.0,87,https://ram.userbenchmark.com/SpeedTest/92488/Corsair-Vengeance-LPX-CMK32GX4M2A2666C16-2x16GB
Vengeance LPX DDR4 2400 C16 2x8GB,200.0,88,https://ram.userbenchmark.com/SpeedTest/92730/Corsair-Vengeance-LPX-CMK16GX4M2A2400C16-2x8GB
Vengeance LPX DDR4 2400 C14 2x8GB,96.0,94,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-2x8GB/Rating/3544
Ripjaws V DDR4 2400 C15 2x4GB,84.0,95,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-2x4GB/Rating/3559
Ripjaws V DDR4 2400 C15 2x8GB,89.0,96,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-2x8GB/Rating/3549
Vengeance LPX DDR4 2133 C13 2x8GB,210.0,101,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2133-C13-2x8GB/Rating/3543
Ballistix Sport LT DDR4 2400 C16 1x8GB,60.0,121,https://ram.userbenchmark.com/SpeedTest/142440/Crucial-BLS8G4D240FSB16FBD-1x8GB
